Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
15,dc_sweep,gmb_nmos_svt,0,,,
15,dc_sweep,gds_nmos_svt,5.552e-6,,,
15,dc_sweep,id_nmos_svt,-15.9e-18,,,
15,dc_sweep,sth_nmos_svt,107.8e-27,,,
15,dc_sweep,sfl_nmos_svt,0,,,
15,dc_sweep,cgg_pmos_svt,123.3e-15,,,
15,dc_sweep,cdd_pmos_svt,57.81e-15,,,
15,dc_sweep,css_pmos_svt,61e-15,,,
15,dc_sweep,gm_pmos_svt,0,,,
15,dc_sweep,gmb_pmos_svt,0,,,
15,dc_sweep,gds_pmos_svt,650.3e-9,,,
15,dc_sweep,id_pmos_svt,93.31e-12,,,
15,dc_sweep,sth_pmos_svt,16.48e-27,,,
15,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=300m, length=2u, sb=0",,,,,,
16,dc_sweep,cgg_nmos_svt,166.2e-15,,,
16,dc_sweep,cdd_nmos_svt,126.7e-15,,,
16,dc_sweep,css_nmos_svt,112.2e-15,,,
16,dc_sweep,gm_nmos_svt,0,,,
16,dc_sweep,gmb_nmos_svt,0,,,
16,dc_sweep,gds_nmos_svt,22.42e-6,,,
16,dc_sweep,id_nmos_svt,-111.6e-18,,,
16,dc_sweep,sth_nmos_svt,434.2e-27,,,
16,dc_sweep,sfl_nmos_svt,0,,,
16,dc_sweep,cgg_pmos_svt,330.7e-15,,,
16,dc_sweep,cdd_pmos_svt,251.4e-15,,,
16,dc_sweep,css_pmos_svt,306.7e-15,,,
16,dc_sweep,gm_pmos_svt,0,,,
16,dc_sweep,gmb_pmos_svt,0,,,
16,dc_sweep,gds_pmos_svt,3.373e-6,,,
16,dc_sweep,id_pmos_svt,110.3e-12,,,
16,dc_sweep,sth_pmos_svt,86.04e-27,,,
16,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=300m, length=2u, sb=250m",,,,,,
17,dc_sweep,cgg_nmos_svt,109.4e-15,,,
17,dc_sweep,cdd_nmos_svt,56.52e-15,,,
17,dc_sweep,css_nmos_svt,52.41e-15,,,
17,dc_sweep,gm_nmos_svt,0,,,
17,dc_sweep,gmb_nmos_svt,0,,,
17,dc_sweep,gds_nmos_svt,10.45e-6,,,
17,dc_sweep,id_nmos_svt,-34.08e-18,,,
17,dc_sweep,sth_nmos_svt,202.9e-27,,,
17,dc_sweep,sfl_nmos_svt,0,,,
17,dc_sweep,cgg_pmos_svt,238.4e-15,,,
17,dc_sweep,cdd_pmos_svt,156.5e-15,,,
17,dc_sweep,css_pmos_svt,185.8e-15,,,
17,dc_sweep,gm_pmos_svt,0,,,
17,dc_sweep,gmb_pmos_svt,0,,,
17,dc_sweep,gds_pmos_svt,1.396e-6,,,
17,dc_sweep,id_pmos_svt,114.6e-12,,,
17,dc_sweep,sth_pmos_svt,35.53e-27,,,
17,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=300m, length=2u, sb=500m",,,,,,
18,dc_sweep,cgg_nmos_svt,79.93e-15,,,
18,dc_sweep,cdd_nmos_svt,23.52e-15,,,
18,dc_sweep,css_nmos_svt,23.6e-15,,,
18,dc_sweep,gm_nmos_svt,0,,,
18,dc_sweep,gmb_nmos_svt,0,,,
18,dc_sweep,gds_nmos_svt,5.067e-6,,,
18,dc_sweep,id_nmos_svt,-48.54e-18,,,
18,dc_sweep,sth_nmos_svt,98.32e-27,,,
18,dc_sweep,sfl_nmos_svt,0,,,
